time,temperature,pressure,humidity,altitude
"2014/11/16 140:0:0", 23.72, 0.92, 21.00, 803.90
"2014/11/16 140:0:0", 23.70, 0.92, 21.00, 803.63
"2014/11/16 140:0:0", 23.69, 0.92, 21.00, 803.90
"2014/11/16 140:0:0", 23.70, 0.92, 21.00, 803.72
"2014/11/16 140:0:0", 23.70, 0.92, 21.00, 803.72
"2014/11/16 140:0:0", 23.69, 0.92, 21.00, 803.81
"2014/11/16 140:0:0", 23.70, 0.92, 21.00, 803.99
"2014/11/16 140:0:0", 23.70, 0.92, 21.00, 803.72
"2014/11/16 140:0:0", 23.72, 0.92, 21.00, 803.90
"2014/11/16 140:0:0", 23.72, 0.92, 21.00, 803.90
"2014/11/16 140:0:0", 23.71, 0.92, 21.00, 803.90
"2014/11/16 140:0:0", 23.70, 0.92, 21.00, 804.08
"2014/11/16 140:0:0", 23.70, 0.92, 21.00, 803.81
"2014/11/16 140:0:0", 23.69, 0.92, 21.00, 803.72
"2014/11/16 140:0:0", 23.69, 0.92, 21.00, 803.99
"2014/11/16 140:0:0", 23.68, 0.92, 21.00, 803.63
"2014/11/16 140:0:0", 23.70, 0.92, 22.00, 803.99
"2014/11/16 140:0:0", 23.70, 0.92, 23.00, 803.99
"2014/11/16 140:0:0", 23.71, 0.92, 23.00, 803.90
"2014/11/16 140:0:0", 23.72, 0.92, 22.00, 803.72
"2014/11/16 140:0:0", 23.72, 0.92, 23.00, 803.81
"2014/11/16 140:0:0", 23.72, 0.92, 23.00, 803.72
"2014/11/16 140:0:0", 23.70, 0.92, 22.00, 803.99
"2014/11/16 140:0:0", 23.69, 0.92, 22.00, 803.99
"2014/11/16 140:0:0", 23.68, 0.92, 22.00, 803.90
"2014/11/16 140:0:0", 23.68, 0.92, 21.00, 803.90
"2014/11/16 140:0:0", 23.68, 0.92, 21.00, 803.99
"2014/11/16 140:0:0", 23.69, 0.92, 21.00, 803.90
"2014/11/16 140:0:0", 23.69, 0.92, 21.00, 803.90
"2014/11/16 140:0:0", 23.69, 0.92, 22.00, 804.08
"2014/11/16 140:0:0", 23.67, 0.92, 22.00, 803.90
"2014/11/16 140:0:0", 23.67, 0.92, 22.00, 803.99
"2014/11/16 140:0:0", 23.68, 0.92, 22.00, 803.72
