time,temperature,pressure,humidity
"2014/11/6 140:0:0", 24.70, 0.92, 23.00
"2014/11/6 140:0:0", 24.71, 0.92, 23.00
"2014/11/6 140:0:0", 24.71, 0.92, 23.00
"2014/11/6 140:0:0", 24.70, 0.92, 22.00
"2014/11/6 140:0:0", 24.68, 0.92, 21.00
"2014/11/6 140:0:0", 24.68, 0.92, 21.00
"2014/11/6 140:0:0", 24.68, 0.92, 21.00
"2014/11/6 140:0:0", 24.71, 0.92, 23.00
"2014/11/6 140:0:0", 25.58, 0.92, 37.00
"2014/11/6 140:0:0", 25.69, 0.92, 45.00
"2014/11/6 140:0:0", 25.46, 0.92, 45.00
"2014/11/6 140:0:0", 25.29, 0.92, 37.00
"2014/11/6 140:0:0", 25.26, 0.92, 32.00
"2014/11/6 140:0:0", 25.26, 0.92, 29.00
"2014/11/6 140:0:0", 25.28, 0.92, 28.00
"2014/11/6 140:0:0", 25.31, 0.92, 27.00
"2014/11/6 140:0:0", 25.32, 0.92, 26.00
"2014/11/6 140:0:0", 25.45, 0.92, 34.00
"2014/11/6 140:0:0", 26.06, 0.92, 46.00
"2014/11/6 140:0:0", 26.50, 0.92, 52.00
"2014/11/6 140:0:0", 26.33, 0.92, 56.00
"2014/11/6 140:0:0", 26.32, 0.92, 59.00
"2014/11/6 140:0:0", 26.49, 0.92, 60.00
"2014/11/6 140:0:0", 27.07, 0.92, 61.00
"2014/11/6 140:0:0", 27.32, 0.92, 60.00
"2014/11/6 140:0:0", 27.23, 0.92, 58.00
"2014/11/6 140:0:0", 27.49, 0.92, 58.00
