time,temperature,pressure,humidity,altitude
"2014/11/2 140:0:0", 23.97, 0.92, 31.00, 802.02
"2014/11/2 140:0:0", 23.98, 0.92, 31.00, 802.02
"2014/11/2 140:0:0", 23.99, 0.92, 31.00, 801.75
"2014/11/2 140:0:0", 23.97, 0.92, 31.00, 802.11
"2014/11/2 140:0:0", 24.00, 0.92, 31.00, 802.02
"2014/11/2 140:0:0", 24.01, 0.92, 31.00, 802.28
"2014/11/2 140:0:0", 24.00, 0.92, 31.00, 801.84
"2014/11/2 140:0:0", 23.97, 0.92, 31.00, 802.46
"2014/11/2 140:0:0", 24.00, 0.92, 31.00, 801.84
"2014/11/2 140:0:0", 24.00, 0.92, 31.00, 802.02
"2014/11/2 140:0:0", 24.01, 0.92, 31.00, 802.02
"2014/11/2 140:0:0", 23.97, 0.92, 31.00, 802.46
"2014/11/2 140:0:0", 24.01, 0.92, 31.00, 802.02
"2014/11/2 140:0:0", 24.01, 0.92, 31.00, 802.02
"2014/11/2 140:0:0", 23.97, 0.92, 31.00, 802.28
"2014/11/2 140:0:0", 24.00, 0.92, 31.00, 802.02
"2014/11/2 140:0:0", 24.00, 0.92, 31.00, 802.11
"2014/11/2 140:0:0", 24.01, 0.92, 31.00, 802.02
"2014/11/2 140:0:0", 23.97, 0.92, 31.00, 801.93
"2014/11/2 140:0:0", 24.00, 0.92, 31.00, 801.84
"2014/11/2 140:0:0", 24.01, 0.92, 31.00, 802.11
"2014/11/2 140:0:0", 24.01, 0.92, 31.00, 802.11
"2014/11/2 140:0:0", 24.01, 0.92, 31.00, 802.19
"2014/11/2 140:0:0", 24.01, 0.92, 31.00, 802.11
"2014/11/2 140:0:0", 24.01, 0.92, 31.00, 802.19
"2014/11/2 140:0:0", 23.98, 0.92, 31.00, 802.46
"2014/11/2 140:0:0", 23.99, 0.92, 31.00, 802.37
"2014/11/2 140:0:0", 23.99, 0.92, 31.00, 802.19
"2014/11/3 140:0:0", 24.00, 0.92, 32.00, 802.37
"2014/11/3 140:0:0", 23.99, 0.92, 32.00, 802.37
"2014/11/3 140:0:0", 23.95, 0.92, 32.00, 802.37
"2014/11/3 140:0:0", 23.97, 0.92, 32.00, 802.37
"2014/11/3 140:0:0", 23.94, 0.92, 32.00, 802.37
"2014/11/3 140:0:0", 23.97, 0.92, 32.00, 802.11
"2014/11/3 140:0:0", 23.97, 0.92, 32.00, 802.11
"2014/11/3 140:0:0", 23.98, 0.92, 32.00, 802.37
"2014/11/3 140:0:0", 23.94, 0.92, 32.00, 802.37
