time,temperature,pressure,humidity,altitude
"2014/11/20 140:0:0", 22.57, 0.92, 24.00, 822.64
"2014/11/20 140:0:0", 22.57, 0.92, 24.00, 822.28
"2014/11/20 140:0:0", 22.57, 0.92, 24.00, 822.37
"2014/11/20 140:0:0", 22.56, 0.92, 24.00, 822.55
"2014/11/21 140:0:0", 22.57, 0.92, 24.00, 822.46
"2014/11/21 140:0:0", 22.57, 0.92, 24.00, 822.64
"2014/11/21 140:0:0", 22.56, 0.92, 24.00, 822.55
"2014/11/21 140:0:0", 22.56, 0.92, 24.00, 822.64
"2014/11/21 140:0:0", 22.56, 0.92, 24.00, 822.64
"2014/11/21 140:0:0", 22.57, 0.92, 24.00, 822.55
"2014/11/21 140:0:0", 22.56, 0.92, 24.00, 822.46
"2014/11/21 140:0:0", 22.56, 0.92, 24.00, 822.73
"2014/11/21 140:0:0", 22.56, 0.92, 24.00, 822.46
"2014/11/21 140:0:0", 22.54, 0.92, 24.00, 822.73
"2014/11/21 140:0:0", 22.55, 0.92, 24.00, 822.91
"2014/11/21 140:0:0", 22.54, 0.92, 24.00, 822.46
"2014/11/21 140:0:0", 22.54, 0.92, 24.00, 822.64
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.46
"2014/11/21 140:0:0", 22.54, 0.92, 24.00, 822.28
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.46
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.64
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.46
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.46
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.46
"2014/11/21 140:0:0", 22.52, 0.92, 24.00, 822.64
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.37
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.28
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.64
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.73
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.64
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.46
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.55
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.28
"2014/11/21 140:0:0", 22.52, 0.92, 24.00, 822.28
"2014/11/21 140:0:0", 22.52, 0.92, 24.00, 822.46
"2014/11/21 140:0:0", 22.52, 0.92, 24.00, 822.55
"2014/11/21 140:0:0", 22.52, 0.92, 24.00, 822.55
"2014/11/21 140:0:0", 22.51, 0.92, 24.00, 822.55
"2014/11/21 140:0:0", 22.52, 0.92, 24.00, 822.37
"2014/11/21 140:0:0", 22.52, 0.92, 24.00, 822.55
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.55
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.37
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.55
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.46
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.55
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.46
"2014/11/21 140:0:0", 22.53, 0.92, 24.00, 822.73
"2014/11/21 140:0:0", 22.53, 0.92, 25.00, 822.55
