time,temperature,pressure,humidity,altitude
"2014/11/26 140:0:0", 22.73, 0.92, 25.00, 822.82
"2014/11/26 140:0:0", 22.73, 0.92, 25.00, 822.73
"2014/11/26 140:0:0", 22.73, 0.92, 24.00, 822.46
"2014/11/26 140:0:0", 22.73, 0.92, 24.00, 822.91
"2014/11/26 140:0:0", 22.74, 0.92, 24.00, 822.64
"2014/11/26 140:0:0", 22.74, 0.92, 24.00, 822.91
"2014/11/26 140:0:0", 22.75, 0.92, 24.00, 822.73
"2014/11/26 140:0:0", 22.75, 0.92, 24.00, 823.00
"2014/11/26 140:0:0", 22.75, 0.92, 24.00, 822.46
"2014/11/26 140:0:0", 22.75, 0.92, 24.00, 822.37
"2014/11/26 140:0:0", 22.75, 0.92, 24.00, 822.28
"2014/11/26 140:0:0", 22.75, 0.92, 24.00, 822.37
"2014/11/26 140:0:0", 22.75, 0.92, 24.00, 822.55
"2014/11/26 140:0:0", 22.75, 0.92, 24.00, 822.64
"2014/11/26 140:0:0", 22.75, 0.92, 24.00, 822.73
"2014/11/26 140:0:0", 22.73, 0.92, 24.00, 822.64
"2014/11/26 140:0:0", 22.74, 0.92, 24.00, 822.73
"2014/11/27 140:0:0", 22.76, 0.92, 24.00, 822.73
"2014/11/27 140:0:0", 22.75, 0.92, 24.00, 822.73
"2014/11/27 140:0:0", 22.75, 0.92, 24.00, 822.55
"2014/11/27 140:0:0", 22.75, 0.92, 24.00, 822.82
"2014/11/27 140:0:0", 22.75, 0.92, 24.00, 822.73
"2014/11/27 140:0:0", 22.76, 0.92, 24.00, 822.73
"2014/11/27 140:0:0", 22.76, 0.92, 24.00, 822.64
"2014/11/27 140:0:0", 22.76, 0.92, 24.00, 822.64
"2014/11/27 140:0:0", 22.76, 0.92, 24.00, 822.64
"2014/11/27 140:0:0", 22.76, 0.92, 24.00, 822.73
"2014/11/27 140:0:0", 22.76, 0.92, 24.00, 822.46
"2014/11/27 140:0:0", 22.77, 0.92, 24.00, 822.64
"2014/11/27 140:0:0", 22.77, 0.92, 24.00, 822.64
"2014/11/27 140:0:0", 22.77, 0.92, 24.00, 822.64
"2014/11/27 140:0:0", 22.77, 0.92, 24.00, 822.46
"2014/11/27 140:0:0", 22.77, 0.92, 24.00, 822.28
"2014/11/27 140:0:0", 22.77, 0.92, 24.00, 822.64
"2014/11/27 140:0:0", 22.77, 0.92, 24.00, 822.46
"2014/11/27 140:0:0", 22.77, 0.92, 24.00, 822.64
"2014/11/27 140:0:0", 22.77, 0.92, 24.00, 822.64
