time,temperature,pressure,humidity,altitude
"2014/11/9 140:0:0", 22.65, 0.92, 25.00, 822.28
"2014/11/9 140:0:0", 22.65, 0.92, 25.00, 822.10
"2014/11/9 140:0:0", 22.65, 0.92, 25.00, 822.37
"2014/11/9 140:0:0", 22.65, 0.92, 25.00, 822.19
"2014/11/9 140:0:0", 22.65, 0.92, 25.00, 822.28
"2014/11/9 140:0:0", 22.65, 0.92, 25.00, 822.19
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.37
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.19
"2014/11/9 140:0:0", 22.65, 0.92, 25.00, 822.55
"2014/11/9 140:0:0", 22.67, 0.92, 25.00, 822.01
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.28
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.46
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.46
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.55
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.28
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.28
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.37
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.28
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.28
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.46
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.37
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.10
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.55
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.28
"2014/11/9 140:0:0", 22.66, 0.92, 25.00, 822.19
