time,temperature,pressure,humidity
"2014/11/12 140:0:0", 25.06, 0.92, 20.00
"2014/11/12 140:0:0", 25.03, 0.92, 20.00
"2014/11/12 140:0:0", 24.97, 0.92, 19.00
"2014/11/12 140:0:0", 24.95, 0.92, 20.00
"2014/11/12 140:0:0", 24.94, 0.92, 20.00
"2014/11/12 140:0:0", 24.92, 0.92, 20.00
"2014/11/12 140:0:0", 24.92, 0.92, 20.00
"2014/11/12 140:0:0", 24.88, 0.92, 20.00
"2014/11/12 140:0:0", 24.87, 0.92, 20.00
"2014/11/12 140:0:0", 24.85, 0.92, 20.00
"2014/11/12 140:0:0", 24.83, 0.92, 20.00
"2014/11/12 140:0:0", 24.82, 0.92, 20.00
"2014/11/13 140:0:0", 24.82, 0.92, 20.00
"2014/11/13 140:0:0", 24.81, 0.92, 20.00
"2014/11/13 140:0:0", 24.81, 0.92, 20.00
"2014/11/13 140:0:0", 24.79, 0.92, 20.00
"2014/11/13 140:0:0", 24.78, 0.92, 20.00
"2014/11/13 140:0:0", 24.77, 0.92, 20.00
"2014/11/13 140:0:0", 24.77, 0.92, 20.00
"2014/11/13 140:0:0", 24.75, 0.92, 20.00
"2014/11/13 140:0:0", 24.76, 0.92, 20.00
"2014/11/13 140:0:0", 24.73, 0.92, 20.00
"2014/11/13 140:0:0", 24.71, 0.92, 20.00
"2014/11/13 140:0:0", 24.71, 0.92, 20.00
"2014/11/13 140:0:0", 24.71, 0.92, 20.00
"2014/11/13 140:0:0", 24.70, 0.92, 20.00
"2014/11/13 140:0:0", 24.69, 0.92, 20.00
"2014/11/13 140:0:0", 24.69, 0.92, 20.00
"2014/11/13 140:0:0", 24.68, 0.92, 20.00
"2014/11/13 140:0:0", 24.68, 0.92, 20.00
"2014/11/13 140:0:0", 24.66, 0.92, 20.00
"2014/11/13 140:0:0", 24.62, 0.92, 20.00
"2014/11/13 140:0:0", 24.61, 0.92, 20.00
"2014/11/13 140:0:0", 24.58, 0.92, 20.00
"2014/11/13 140:0:0", 24.55, 0.92, 20.00
"2014/11/13 140:0:0", 24.56, 0.92, 20.00
"2014/11/13 140:0:0", 24.55, 0.92, 20.00
"2014/11/13 140:0:0", 24.53, 0.92, 20.00
"2014/11/13 140:0:0", 24.52, 0.92, 20.00
"2014/11/13 140:0:0", 24.51, 0.92, 20.00
"2014/11/13 140:0:0", 24.51, 0.92, 20.00
"2014/11/13 140:0:0", 24.48, 0.92, 20.00
"2014/11/13 140:0:0", 24.49, 0.92, 20.00
"2014/11/13 140:0:0", 24.49, 0.92, 20.00
"2014/11/13 140:0:0", 24.48, 0.92, 20.00
"2014/11/13 140:0:0", 24.48, 0.92, 20.00
"2014/11/13 140:0:0", 24.48, 0.92, 20.00
"2014/11/13 140:0:0", 24.47, 0.92, 20.00
"2014/11/13 140:0:0", 24.46, 0.92, 20.00
"2014/11/13 140:0:0", 24.46, 0.92, 20.00
"2014/11/13 140:0:0", 24.46, 0.92, 20.00
"2014/11/13 140:0:0", 24.45, 0.92, 20.00
"2014/11/13 140:0:0", 24.45, 0.92, 20.00
"2014/11/13 140:0:0", 24.44, 0.92, 20.00
"2014/11/13 140:0:0", 24.43, 0.92, 20.00
"2014/11/13 140:0:0", 24.41, 0.92, 20.00
"2014/11/13 140:0:0", 24.41, 0.92, 20.00
"2014/11/13 140:0:0", 24.41, 0.92, 20.00
"2014/11/13 140:0:0", 24.41, 0.92, 20.00
"2014/11/13 140:0:0", 24.41, 0.92, 20.00
"2014/11/13 140:0:0", 24.39, 0.92, 20.00
"2014/11/13 140:0:0", 24.38, 0.92, 20.00
"2014/11/13 140:0:0", 24.37, 0.92, 20.00
"2014/11/13 140:0:0", 24.36, 0.92, 20.00
"2014/11/13 140:0:0", 24.33, 0.92, 20.00
"2014/11/13 140:0:0", 24.33, 0.92, 20.00
"2014/11/13 140:0:0", 24.32, 0.92, 20.00
"2014/11/13 140:0:0", 24.31, 0.92, 20.00
"2014/11/13 140:0:0", 24.30, 0.92, 20.00
"2014/11/13 140:0:0", 24.30, 0.92, 20.00
"2014/11/13 140:0:0", 24.28, 0.92, 20.00
"2014/11/13 140:0:0", 24.27, 0.92, 20.00
"2014/11/14 140:0:0", 24.23, 0.92, 20.00
"2014/11/14 140:0:0", 24.23, 0.92, 20.00
"2014/11/14 140:0:0", 24.23, 0.92, 20.00
"2014/11/14 140:0:0", 24.22, 0.92, 20.00
"2014/11/14 140:0:0", 24.22, 0.92, 20.00
"2014/11/14 140:0:0", 24.22, 0.92, 20.00
"2014/11/14 140:0:0", 24.22, 0.92, 20.00
"2014/11/14 140:0:0", 24.19, 0.92, 20.00
"2014/11/14 140:0:0", 24.19, 0.92, 20.00
"2014/11/14 140:0:0", 24.18, 0.92, 20.00
"2014/11/14 140:0:0", 24.17, 0.92, 20.00
"2014/11/14 140:0:0", 24.14, 0.92, 20.00
"2014/11/14 140:0:0", 24.13, 0.92, 20.00
"2014/11/14 140:0:0", 24.13, 0.92, 20.00
"2014/11/14 140:0:0", 24.14, 0.92, 20.00
"2014/11/14 140:0:0", 24.14, 0.92, 20.00
"2014/11/14 140:0:0", 24.12, 0.92, 20.00
"2014/11/14 140:0:0", 24.10, 0.92, 20.00
"2014/11/14 140:0:0", 24.09, 0.92, 20.00
"2014/11/14 140:0:0", 24.06, 0.92, 20.00
"2014/11/14 140:0:0", 24.07, 0.92, 20.00
"2014/11/14 140:0:0", 24.07, 0.92, 20.00
"2014/11/14 140:0:0", 24.05, 0.92, 20.00
"2014/11/14 140:0:0", 24.03, 0.92, 20.00
"2014/11/14 140:0:0", 24.04, 0.92, 20.00
"2014/11/14 140:0:0", 24.03, 0.92, 20.00
"2014/11/14 140:0:0", 24.03, 0.92, 20.00
"2014/11/14 140:0:0", 24.04, 0.92, 20.00
"2014/11/14 140:0:0", 24.04, 0.92, 20.00
"2014/11/14 140:0:0", 24.03, 0.92, 20.00
"2014/11/14 140:0:0", 24.03, 0.92, 20.00
"2014/11/14 140:0:0", 24.03, 0.92, 20.00
"2014/11/14 140:0:0", 24.02, 0.92, 20.00
"2014/11/14 140:0:0", 24.01, 0.92, 20.00
"2014/11/14 140:0:0", 24.02, 0.92, 20.00
"2014/11/14 140:0:0", 24.01, 0.92, 20.00
"2014/11/14 140:0:0", 23.98, 0.92, 20.00
"2014/11/14 140:0:0", 23.98, 0.92, 20.00
"2014/11/14 140:0:0", 23.98, 0.92, 20.00
"2014/11/14 140:0:0", 23.99, 0.92, 20.00
"2014/11/14 140:0:0", 23.99, 0.92, 20.00
"2014/11/14 140:0:0", 23.98, 0.92, 20.00
"2014/11/14 140:0:0", 23.97, 0.92, 20.00
"2014/11/14 140:0:0", 23.98, 0.92, 20.00
"2014/11/14 140:0:0", 23.98, 0.92, 20.00
"2014/11/14 140:0:0", 23.96, 0.92, 20.00
"2014/11/14 140:0:0", 23.97, 0.92, 20.00
"2014/11/14 140:0:0", 23.97, 0.92, 20.00
"2014/11/14 140:0:0", 23.96, 0.92, 20.00
"2014/11/14 140:0:0", 23.95, 0.92, 20.00
"2014/11/14 140:0:0", 23.95, 0.92, 20.00
"2014/11/14 140:0:0", 23.93, 0.92, 20.00
"2014/11/14 140:0:0", 23.93, 0.92, 20.00
"2014/11/14 140:0:0", 23.92, 0.92, 20.00
"2014/11/14 140:0:0", 23.93, 0.92, 20.00
"2014/11/14 140:0:0", 23.91, 0.92, 20.00
"2014/11/14 140:0:0", 23.91, 0.92, 20.00
"2014/11/14 140:0:0", 23.90, 0.92, 20.00
"2014/11/14 140:0:0", 23.89, 0.92, 20.00
"2014/11/14 140:0:0", 23.90, 0.92, 20.00
"2014/11/15 140:0:0", 23.91, 0.92, 20.00
"2014/11/15 140:0:0", 23.89, 0.92, 20.00
"2014/11/15 140:0:0", 23.89, 0.92, 20.00
"2014/11/15 140:0:0", 23.86, 0.92, 20.00
"2014/11/15 140:0:0", 23.86, 0.92, 20.00
"2014/11/15 140:0:0", 23.84, 0.92, 20.00
"2014/11/15 140:0:0", 23.84, 0.92, 20.00
"2014/11/15 140:0:0", 23.83, 0.92, 20.00
"2014/11/15 140:0:0", 23.83, 0.92, 20.00
"2014/11/15 140:0:0", 23.84, 0.92, 20.00
"2014/11/15 140:0:0", 23.84, 0.92, 20.00
"2014/11/15 140:0:0", 23.85, 0.92, 20.00
"2014/11/15 140:0:0", 23.84, 0.92, 20.00
"2014/11/15 140:0:0", 23.85, 0.92, 20.00
"2014/11/15 140:0:0", 23.86, 0.92, 20.00
"2014/11/15 140:0:0", 23.85, 0.92, 20.00
"2014/11/15 140:0:0", 23.84, 0.92, 20.00
"2014/11/15 140:0:0", 23.82, 0.92, 20.00
"2014/11/15 140:0:0", 23.80, 0.92, 20.00
"2014/11/15 140:0:0", 23.80, 0.92, 20.00
"2014/11/15 140:0:0", 23.80, 0.92, 20.00
"2014/11/15 140:0:0", 23.81, 0.92, 20.00
"2014/11/15 140:0:0", 23.81, 0.92, 20.00
"2014/11/15 140:0:0", 23.79, 0.92, 20.00
"2014/11/15 140:0:0", 23.78, 0.92, 20.00
"2014/11/15 140:0:0", 23.77, 0.92, 20.00
"2014/11/15 140:0:0", 23.77, 0.92, 20.00
"2014/11/15 140:0:0", 23.78, 0.92, 20.00
"2014/11/15 140:0:0", 23.77, 0.92, 20.00
"2014/11/15 140:0:0", 23.78, 0.92, 21.00
"2014/11/15 140:0:0", 23.77, 0.92, 21.00
"2014/11/15 140:0:0", 23.77, 0.92, 21.00
"2014/11/15 140:0:0", 23.77, 0.92, 21.00
"2014/11/15 140:0:0", 23.75, 0.92, 21.00
"2014/11/15 140:0:0", 23.76, 0.92, 21.00
"2014/11/15 140:0:0", 23.77, 0.92, 21.00
"2014/11/15 140:0:0", 23.77, 0.92, 21.00
"2014/11/15 140:0:0", 23.78, 0.92, 21.00
"2014/11/15 140:0:0", 23.78, 0.92, 21.00
"2014/11/15 140:0:0", 23.78, 0.92, 21.00
"2014/11/15 140:0:0", 23.77, 0.92, 21.00
"2014/11/15 140:0:0", 23.75, 0.92, 21.00
"2014/11/15 140:0:0", 23.76, 0.92, 20.00
