time,temperature,pressure,humidity,altitude
"2014/11/2 140:0:0", 23.83, 0.92, 32.00, 801.93
"2014/11/2 140:0:0", 23.85, 0.92, 32.00, 802.02
"2014/11/2 140:0:0", 23.87, 0.92, 32.00, 801.84
"2014/11/2 140:0:0", 23.88, 0.92, 32.00, 801.93
"2014/11/2 140:0:0", 23.89, 0.92, 32.00, 802.02
"2014/11/2 140:0:0", 23.90, 0.92, 32.00, 801.93
"2014/11/2 140:0:0", 23.91, 0.92, 32.00, 801.93
"2014/11/2 140:0:0", 23.91, 0.92, 32.00, 802.11
"2014/11/2 140:0:0", 23.93, 0.92, 31.00, 802.19
"2014/11/2 140:0:0", 23.92, 0.92, 31.00, 802.02
