time,temperature,pressure,humidity
"2014/11/5 140:0:0", 24.43, 0.92, 21.00
"2014/11/5 140:0:0", 24.44, 0.92, 21.00
"2014/11/5 140:0:0", 24.46, 0.92, 22.00
"2014/11/5 140:0:0", 24.48, 0.92, 23.00
"2014/11/5 140:0:0", 24.49, 0.92, 23.00
"2014/11/5 140:0:0", 24.50, 0.92, 22.00
"2014/11/5 140:0:0", 24.49, 0.92, 22.00
"2014/11/5 140:0:0", 24.50, 0.92, 22.00
"2014/11/5 140:0:0", 24.51, 0.92, 22.00
"2014/11/6 140:0:0", 24.51, 0.92, 22.00
"2014/11/6 140:0:0", 24.53, 0.92, 22.00
"2014/11/6 140:0:0", 24.55, 0.92, 23.00
"2014/11/6 140:0:0", 24.57, 0.92, 23.00
"2014/11/6 140:0:0", 24.57, 0.92, 23.00
"2014/11/6 140:0:0", 24.61, 0.92, 23.00
"2014/11/6 140:0:0", 24.61, 0.92, 23.00
"2014/11/6 140:0:0", 24.62, 0.92, 23.00
