time,temperature,pressure,humidity,altitude
"2014/11/2 140:0:0", 22.65, 0.92, 25.00, 822.46
"2014/11/2 140:0:0", 22.65, 0.92, 25.00, 822.46
"2014/11/2 140:0:0", 22.66, 0.92, 25.00, 822.37
"2014/11/2 140:0:0", 22.65, 0.92, 25.00, 822.46
"2014/11/2 140:0:0", 22.66, 0.92, 25.00, 822.46
"2014/11/2 140:0:0", 22.66, 0.92, 25.00, 822.46
"2014/11/2 140:0:0", 22.66, 0.92, 25.00, 822.73
"2014/11/2 140:0:0", 22.66, 0.92, 25.00, 822.46
"2014/11/2 140:0:0", 22.66, 0.92, 25.00, 822.46
"2014/11/2 140:0:0", 22.66, 0.92, 25.00, 822.46
"2014/11/2 140:0:0", 22.67, 0.92, 25.00, 822.64
"2014/11/2 140:0:0", 22.67, 0.92, 25.00, 822.28
"2014/11/2 140:0:0", 22.67, 0.92, 25.00, 822.46
"2014/11/2 140:0:0", 22.67, 0.92, 25.00, 822.55
"2014/11/2 140:0:0", 22.67, 0.92, 25.00, 822.28
"2014/11/2 140:0:0", 22.67, 0.92, 25.00, 822.37
"2014/11/2 140:0:0", 22.67, 0.92, 25.00, 822.64
"2014/11/2 140:0:0", 22.68, 0.92, 25.00, 822.28
"2014/11/2 140:0:0", 22.68, 0.92, 25.00, 822.28
