time,temperature,pressure,humidity,altitude
"2014/11/17 140:0:0", 22.55, 0.92, 24.00, 822.28
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.55
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.37
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.28
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.37
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.37
"2014/11/17 140:0:0", 22.55, 0.92, 24.00, 822.19
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.19
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.10
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.19
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.19
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.10
"2014/11/17 140:0:0", 22.55, 0.92, 24.00, 822.01
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.19
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.10
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.19
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.10
"2014/11/17 140:0:0", 22.54, 0.92, 24.00, 822.37
"2014/11/17 140:0:0", 22.55, 0.92, 24.00, 821.92
"2014/11/17 140:0:0", 22.55, 0.92, 24.00, 822.37
"2014/11/17 140:0:0", 22.55, 0.92, 24.00, 822.10
"2014/11/17 140:0:0", 22.55, 0.92, 24.00, 822.37
"2014/11/17 140:0:0", 22.55, 0.92, 24.00, 822.19
"2014/11/17 140:0:0", 22.55, 0.92, 24.00, 822.37
"2014/11/17 140:0:0", 22.55, 0.92, 24.00, 822.10
"2014/11/17 140:0:0", 22.55, 0.92, 24.00, 822.19
"2014/11/17 140:0:0", 22.55, 0.92, 24.00, 822.01
"2014/11/17 140:0:0", 22.55, 0.92, 24.00, 822.10
"2014/11/17 140:0:0", 22.56, 0.92, 24.00, 822.28
"2014/11/18 140:0:0", 22.55, 0.92, 24.00, 822.01
"2014/11/18 140:0:0", 22.56, 0.92, 24.00, 822.19
"2014/11/18 140:0:0", 22.56, 0.92, 24.00, 822.19
"2014/11/18 140:0:0", 22.55, 0.92, 24.00, 822.37
"2014/11/18 140:0:0", 22.56, 0.92, 24.00, 822.01
"2014/11/18 140:0:0", 22.56, 0.92, 24.00, 822.10
"2014/11/18 140:0:0", 22.56, 0.92, 24.00, 822.19
"2014/11/18 140:0:0", 22.55, 0.92, 24.00, 822.28
"2014/11/18 140:0:0", 22.55, 0.92, 24.00, 822.28
"2014/11/18 140:0:0", 22.55, 0.92, 24.00, 822.28
"2014/11/18 140:0:0", 22.55, 0.92, 24.00, 822.10
"2014/11/18 140:0:0", 22.54, 0.92, 24.00, 822.28
"2014/11/18 140:0:0", 22.54, 0.92, 24.00, 822.19
"2014/11/18 140:0:0", 22.54, 0.92, 24.00, 822.37
"2014/11/18 140:0:0", 22.54, 0.92, 24.00, 822.46
"2014/11/18 140:0:0", 22.54, 0.92, 24.00, 822.10
"2014/11/18 140:0:0", 22.54, 0.92, 24.00, 822.46
"2014/11/18 140:0:0", 22.54, 0.92, 24.00, 822.19
"2014/11/18 140:0:0", 22.54, 0.92, 24.00, 822.19
"2014/11/18 140:0:0", 22.53, 0.92, 24.00, 822.28
"2014/11/18 140:0:0", 22.53, 0.92, 24.00, 822.19
"2014/11/18 140:0:0", 22.53, 0.92, 24.00, 822.10
"2014/11/18 140:0:0", 22.53, 0.92, 24.00, 822.10
"2014/11/18 140:0:0", 22.53, 0.92, 24.00, 822.37
"2014/11/18 140:0:0", 22.53, 0.92, 24.00, 822.19
"2014/11/18 140:0:0", 22.53, 0.92, 24.00, 822.10
"2014/11/18 140:0:0", 22.53, 0.92, 24.00, 822.19
"2014/11/18 140:0:0", 22.52, 0.92, 24.00, 822.28
"2014/11/18 140:0:0", 22.53, 0.92, 24.00, 822.19
"2014/11/18 140:0:0", 22.53, 0.92, 24.00, 821.92
"2014/11/18 140:0:0", 22.52, 0.92, 24.00, 822.10
"2014/11/18 140:0:0", 22.53, 0.92, 24.00, 822.37
"2014/11/18 140:0:0", 22.53, 0.92, 24.00, 822.37
"2014/11/18 140:0:0", 22.52, 0.92, 24.00, 822.46
"2014/11/18 140:0:0", 22.53, 0.92, 24.00, 821.92
