time,temp,press,hum
"2014/11/2 140:0:0", 24.51, 0.92, 22.00
"2014/11/2 140:0:0", 24.56, 0.92, 22.00
"2014/11/2 140:0:0", 24.58, 0.92, 22.00
"2014/11/2 140:0:0", 24.59, 0.92, 22.00
"2014/11/2 140:0:0", 24.60, 0.92, 22.00
"2014/11/2 140:0:0", 24.60, 0.92, 22.00
"2014/11/2 140:0:0", 24.60, 0.92, 22.00
"2014/11/2 140:0:0", 24.60, 0.92, 22.00
"2014/11/2 140:0:0", 24.60, 0.92, 21.00
"2014/11/2 140:0:0", 24.60, 0.92, 21.00
"2014/11/2 140:0:0", 24.60, 0.92, 21.00
"2014/11/2 140:0:0", 24.60, 0.92, 21.00
"2014/11/2 140:0:0", 24.61, 0.92, 21.00
"2014/11/2 140:0:0", 24.60, 0.92, 21.00
"2014/11/2 140:0:0", 24.61, 0.92, 21.00
"2014/11/2 140:0:0", 24.61, 0.92, 21.00
"2014/11/2 140:0:0", 24.61, 0.92, 21.00
"2014/11/2 140:0:0", 24.60, 0.92, 21.00
"2014/11/2 140:0:0", 24.60, 0.92, 21.00
"2014/11/2 140:0:0", 24.60, 0.92, 21.00
"2014/11/2 140:0:0", 24.60, 0.92, 21.00
"2014/11/2 140:0:0", 24.59, 0.92, 21.00
"2014/11/2 140:0:0", 24.60, 0.92, 21.00
"2014/11/2 140:0:0", 24.60, 0.92, 21.00
"2014/11/2 140:0:0", 24.60, 0.92, 21.00
"2014/11/2 140:0:0", 24.60, 0.92, 21.00
"2014/11/2 140:0:0", 24.60, 0.92, 21.00
"2014/11/2 140:0:0", 24.60, 0.92, 20.00
"2014/11/2 140:0:0", 24.60, 0.92, 20.00
"2014/11/2 140:0:0", 24.59, 0.92, 20.00
"2014/11/2 140:0:0", 24.59, 0.92, 20.00
"2014/11/2 140:0:0", 24.58, 0.92, 20.00
"2014/11/2 140:0:0", 24.59, 0.92, 20.00
"2014/11/2 140:0:0", 24.59, 0.92, 20.00
"2014/11/2 140:0:0", 24.59, 0.92, 21.00
"2014/11/2 140:0:0", 24.59, 0.92, 21.00
"2014/11/2 140:0:0", 24.58, 0.92, 21.00
"2014/11/2 140:0:0", 24.59, 0.92, 21.00
"2014/11/2 140:0:0", 24.59, 0.92, 21.00
"2014/11/2 140:0:0", 24.58, 0.92, 21.00
"2014/11/2 140:0:0", 24.58, 0.92, 21.00
"2014/11/2 140:0:0", 24.59, 0.92, 21.00
"2014/11/2 140:0:0", 24.59, 0.92, 20.00
"2014/11/2 140:0:0", 24.59, 0.92, 20.00
"2014/11/2 140:0:0", 24.59, 0.92, 20.00
"2014/11/2 140:0:0", 24.59, 0.92, 21.00
"2014/11/3 140:0:0", 24.60, 0.92, 21.00
"2014/11/3 140:0:0", 24.60, 0.92, 20.00
"2014/11/3 140:0:0", 24.60, 0.92, 20.00
"2014/11/3 140:0:0", 24.60, 0.92, 20.00
"2014/11/3 140:0:0", 24.59, 0.92, 20.00
"2014/11/3 140:0:0", 24.59, 0.92, 20.00
"2014/11/3 140:0:0", 24.59, 0.92, 20.00
"2014/11/3 140:0:0", 24.60, 0.92, 20.00
"2014/11/3 140:0:0", 24.59, 0.92, 20.00
"2014/11/3 140:0:0", 24.59, 0.92, 20.00
"2014/11/3 140:0:0", 24.60, 0.92, 20.00
"2014/11/3 140:0:0", 24.58, 0.92, 20.00
"2014/11/3 140:0:0", 24.58, 0.92, 21.00
"2014/11/3 140:0:0", 24.58, 0.92, 20.00
"2014/11/3 140:0:0", 24.58, 0.92, 20.00
"2014/11/3 140:0:0", 24.57, 0.92, 21.00
"2014/11/3 140:0:0", 24.57, 0.92, 21.00
"2014/11/3 140:0:0", 24.57, 0.92, 21.00
"2014/11/3 140:0:0", 24.57, 0.92, 21.00
"2014/11/3 140:0:0", 24.57, 0.92, 20.00
"2014/11/3 140:0:0", 24.57, 0.92, 20.00
"2014/11/3 140:0:0", 24.57, 0.92, 20.00
"2014/11/3 140:0:0", 24.57, 0.92, 20.00
"2014/11/3 140:0:0", 24.57, 0.92, 20.00
"2014/11/3 140:0:0", 24.57, 0.92, 20.00
"2014/11/3 140:0:0", 24.57, 0.92, 20.00
"2014/11/3 140:0:0", 24.57, 0.92, 20.00
"2014/11/3 140:0:0", 24.57, 0.92, 20.00
"2014/11/3 140:0:0", 24.57, 0.92, 20.00
"2014/11/3 140:0:0", 24.57, 0.92, 20.00
"2014/11/3 140:0:0", 24.56, 0.92, 20.00
"2014/11/3 140:0:0", 24.56, 0.92, 20.00
"2014/11/3 140:0:0", 24.55, 0.92, 20.00
"2014/11/3 140:0:0", 24.55, 0.92, 20.00
"2014/11/3 140:0:0", 24.54, 0.92, 20.00
"2014/11/3 140:0:0", 24.54, 0.92, 20.00
"2014/11/3 140:0:0", 24.54, 0.92, 20.00
"2014/11/3 140:0:0", 24.53, 0.92, 20.00
"2014/11/3 140:0:0", 24.54, 0.92, 20.00
"2014/11/3 140:0:0", 24.53, 0.92, 20.00
"2014/11/3 140:0:0", 24.54, 0.92, 20.00
"2014/11/3 140:0:0", 24.53, 0.92, 20.00
"2014/11/3 140:0:0", 24.53, 0.92, 20.00
"2014/11/3 140:0:0", 24.51, 0.92, 20.00
"2014/11/3 140:0:0", 24.53, 0.92, 20.00
"2014/11/3 140:0:0", 24.53, 0.92, 20.00
"2014/11/3 140:0:0", 24.53, 0.92, 20.00
"2014/11/3 140:0:0", 24.53, 0.92, 20.00
"2014/11/3 140:0:0", 24.53, 0.92, 20.00
"2014/11/3 140:0:0", 24.52, 0.92, 20.00
"2014/11/3 140:0:0", 24.52, 0.92, 20.00
"2014/11/3 140:0:0", 24.52, 0.92, 20.00
"2014/11/3 140:0:0", 24.52, 0.92, 20.00
"2014/11/3 140:0:0", 24.53, 0.92, 20.00
"2014/11/3 140:0:0", 24.53, 0.92, 20.00
"2014/11/3 140:0:0", 24.52, 0.92, 20.00
"2014/11/3 140:0:0", 24.52, 0.92, 20.00
"2014/11/3 140:0:0", 24.52, 0.92, 20.00
"2014/11/3 140:0:0", 24.52, 0.92, 20.00
"2014/11/3 140:0:0", 24.52, 0.92, 20.00
"2014/11/4 140:0:0", 24.52, 0.92, 20.00
"2014/11/4 140:0:0", 24.52, 0.92, 20.00
"2014/11/4 140:0:0", 24.51, 0.92, 20.00
"2014/11/4 140:0:0", 24.52, 0.92, 20.00
"2014/11/4 140:0:0", 24.52, 0.92, 20.00
"2014/11/4 140:0:0", 24.52, 0.92, 21.00
"2014/11/4 140:0:0", 24.52, 0.92, 21.00
"2014/11/4 140:0:0", 24.51, 0.92, 21.00
"2014/11/4 140:0:0", 24.52, 0.92, 21.00
"2014/11/4 140:0:0", 24.53, 0.92, 21.00
"2014/11/4 140:0:0", 24.52, 0.92, 21.00
"2014/11/4 140:0:0", 24.52, 0.92, 21.00
"2014/11/4 140:0:0", 24.52, 0.92, 21.00
"2014/11/4 140:0:0", 24.53, 0.92, 21.00
"2014/11/4 140:0:0", 24.53, 0.92, 20.00
"2014/11/4 140:0:0", 24.53, 0.92, 20.00
"2014/11/4 140:0:0", 24.53, 0.92, 20.00
"2014/11/4 140:0:0", 24.53, 0.92, 20.00
"2014/11/4 140:0:0", 24.52, 0.92, 20.00
"2014/11/4 140:0:0", 24.53, 0.92, 20.00
"2014/11/4 140:0:0", 24.52, 0.92, 21.00
"2014/11/4 140:0:0", 24.52, 0.92, 21.00
"2014/11/4 140:0:0", 24.51, 0.92, 21.00
"2014/11/4 140:0:0", 24.51, 0.92, 21.00
"2014/11/4 140:0:0", 24.52, 0.92, 21.00
"2014/11/4 140:0:0", 24.51, 0.92, 21.00
"2014/11/4 140:0:0", 24.51, 0.92, 21.00
"2014/11/4 140:0:0", 24.51, 0.92, 21.00
"2014/11/4 140:0:0", 24.51, 0.92, 21.00
"2014/11/4 140:0:0", 24.52, 0.92, 21.00
"2014/11/4 140:0:0", 24.52, 0.92, 21.00
"2014/11/4 140:0:0", 24.51, 0.92, 21.00
"2014/11/4 140:0:0", 24.51, 0.92, 21.00
"2014/11/4 140:0:0", 24.51, 0.92, 21.00
"2014/11/4 140:0:0", 24.51, 0.92, 21.00
"2014/11/4 140:0:0", 24.50, 0.92, 21.00
"2014/11/4 140:0:0", 24.50, 0.92, 21.00
"2014/11/4 140:0:0", 24.49, 0.92, 21.00
"2014/11/4 140:0:0", 24.49, 0.92, 21.00
"2014/11/4 140:0:0", 24.49, 0.92, 21.00
"2014/11/4 140:0:0", 24.49, 0.92, 21.00
"2014/11/4 140:0:0", 24.49, 0.92, 21.00
"2014/11/4 140:0:0", 24.49, 0.92, 21.00
"2014/11/4 140:0:0", 24.49, 0.92, 21.00
"2014/11/4 140:0:0", 24.49, 0.92, 21.00
"2014/11/4 140:0:0", 24.49, 0.92, 21.00
