time,temp,press,hum
"2014/11/4 140:0:0", 24.48, 0.92, 21.00
"2014/11/4 140:0:0", 24.48, 0.92, 21.00
"2014/11/4 140:0:0", 24.47, 0.92, 21.00
"2014/11/4 140:0:0", 24.47, 0.92, 21.00
"2014/11/4 140:0:0", 24.46, 0.92, 21.00
"2014/11/4 140:0:0", 24.46, 0.92, 21.00
"2014/11/4 140:0:0", 24.46, 0.92, 21.00
"2014/11/4 140:0:0", 24.46, 0.92, 21.00
"2014/11/4 140:0:0", 24.46, 0.92, 21.00
"2014/11/4 140:0:0", 24.46, 0.92, 21.00
"2014/11/4 140:0:0", 24.46, 0.92, 21.00
"2014/11/4 140:0:0", 24.45, 0.92, 21.00
"2014/11/4 140:0:0", 24.46, 0.92, 21.00
"2014/11/4 140:0:0", 24.45, 0.92, 21.00
"2014/11/5 140:0:0", 24.45, 0.92, 21.00
"2014/11/5 140:0:0", 24.45, 0.92, 21.00
"2014/11/5 140:0:0", 24.45, 0.92, 21.00
"2014/11/5 140:0:0", 24.45, 0.92, 21.00
"2014/11/5 140:0:0", 24.45, 0.92, 21.00
"2014/11/5 140:0:0", 24.45, 0.92, 21.00
"2014/11/5 140:0:0", 24.45, 0.92, 21.00
"2014/11/5 140:0:0", 24.46, 0.92, 21.00
"2014/11/5 140:0:0", 24.46, 0.92, 21.00
"2014/11/5 140:0:0", 24.46, 0.92, 21.00
"2014/11/5 140:0:0", 24.46, 0.92, 21.00
"2014/11/5 140:0:0", 24.46, 0.92, 21.00
"2014/11/5 140:0:0", 24.46, 0.92, 21.00
"2014/11/5 140:0:0", 24.45, 0.92, 21.00
"2014/11/5 140:0:0", 24.45, 0.92, 21.00
"2014/11/5 140:0:0", 24.44, 0.92, 21.00
"2014/11/5 140:0:0", 24.44, 0.92, 21.00
"2014/11/5 140:0:0", 24.44, 0.92, 21.00
"2014/11/5 140:0:0", 24.43, 0.92, 21.00
"2014/11/5 140:0:0", 24.43, 0.92, 21.00
"2014/11/5 140:0:0", 24.42, 0.92, 21.00
"2014/11/5 140:0:0", 24.42, 0.92, 21.00
"2014/11/5 140:0:0", 24.41, 0.92, 21.00
"2014/11/5 140:0:0", 24.41, 0.92, 21.00
"2014/11/5 140:0:0", 24.42, 0.92, 21.00
"2014/11/5 140:0:0", 24.42, 0.92, 21.00
"2014/11/5 140:0:0", 24.42, 0.92, 21.00
"2014/11/5 140:0:0", 24.42, 0.92, 21.00
"2014/11/5 140:0:0", 24.42, 0.92, 21.00
"2014/11/5 140:0:0", 24.42, 0.92, 21.00
"2014/11/5 140:0:0", 24.42, 0.92, 21.00
"2014/11/5 140:0:0", 24.42, 0.92, 21.00
"2014/11/5 140:0:0", 24.42, 0.92, 21.00
"2014/11/5 140:0:0", 24.43, 0.92, 20.00
"2014/11/5 140:0:0", 24.43, 0.92, 20.00
"2014/11/5 140:0:0", 24.42, 0.92, 20.00
"2014/11/5 140:0:0", 24.42, 0.92, 20.00
"2014/11/5 140:0:0", 24.42, 0.92, 20.00
"2014/11/5 140:0:0", 24.42, 0.92, 20.00
"2014/11/5 140:0:0", 24.42, 0.92, 21.00
"2014/11/5 140:0:0", 24.43, 0.92, 20.00
"2014/11/5 140:0:0", 24.43, 0.92, 20.00
"2014/11/5 140:0:0", 24.43, 0.92, 20.00
