time,temperature,pressure,humidity,altitude
"2014/11/2 140:0:0", 21.51, 0.92, 28.00, 821.11
"2014/11/2 140:0:0", 21.58, 0.92, 28.00, 821.29
"2014/11/2 140:0:0", 21.62, 0.92, 28.00, 821.11
"2014/11/2 140:0:0", 21.64, 0.92, 28.00, 821.02
"2014/11/2 140:0:0", 21.65, 0.92, 27.00, 821.11
"2014/11/2 140:0:0", 21.66, 0.92, 27.00, 821.11
"2014/11/2 140:0:0", 21.68, 0.92, 27.00, 821.11
"2014/11/2 140:0:0", 21.69, 0.92, 27.00, 821.11
"2014/11/2 140:0:0", 21.70, 0.92, 27.00, 821.11
"2014/11/2 140:0:0", 21.71, 0.92, 27.00, 821.38
"2014/11/2 140:0:0", 21.72, 0.92, 27.00, 821.29
"2014/11/2 140:0:0", 21.72, 0.92, 27.00, 821.29
"2014/11/2 140:0:0", 21.73, 0.92, 27.00, 821.38
"2014/11/2 140:0:0", 21.74, 0.92, 27.00, 821.47
"2014/11/2 140:0:0", 21.75, 0.92, 27.00, 821.29
"2014/11/2 140:0:0", 21.76, 0.92, 27.00, 821.20
"2014/11/2 140:0:0", 21.77, 0.92, 27.00, 821.38
"2014/11/2 140:0:0", 21.78, 0.92, 27.00, 821.47
"2014/11/2 140:0:0", 21.79, 0.92, 27.00, 821.47
"2014/11/2 140:0:0", 21.80, 0.92, 27.00, 821.29
"2014/11/2 140:0:0", 21.81, 0.92, 27.00, 821.38
"2014/11/2 140:0:0", 21.81, 0.92, 27.00, 821.38
"2014/11/2 140:0:0", 21.82, 0.92, 27.00, 821.29
"2014/11/2 140:0:0", 21.83, 0.92, 27.00, 821.20
"2014/11/2 140:0:0", 21.84, 0.92, 28.00, 821.47
"2014/11/2 140:0:0", 21.84, 0.92, 27.00, 821.56
"2014/11/2 140:0:0", 21.85, 0.92, 27.00, 821.02
"2014/11/3 140:0:0", 21.85, 0.92, 27.00, 821.47
"2014/11/3 140:0:0", 21.86, 0.92, 27.00, 821.74
"2014/11/3 140:0:0", 21.87, 0.92, 27.00, 821.56
"2014/11/3 140:0:0", 21.88, 0.92, 27.00, 821.47
"2014/11/3 140:0:0", 21.89, 0.92, 27.00, 821.65
"2014/11/3 140:0:0", 21.89, 0.92, 27.00, 821.56
"2014/11/3 140:0:0", 21.90, 0.92, 27.00, 821.74
"2014/11/3 140:0:0", 21.91, 0.92, 27.00, 821.29
"2014/11/3 140:0:0", 21.91, 0.92, 27.00, 821.38
"2014/11/3 140:0:0", 21.92, 0.92, 27.00, 821.65
"2014/11/3 140:0:0", 21.93, 0.92, 27.00, 821.47
"2014/11/3 140:0:0", 21.93, 0.92, 27.00, 821.56
"2014/11/3 140:0:0", 21.93, 0.92, 27.00, 821.47
"2014/11/3 140:0:0", 21.94, 0.92, 27.00, 821.29
"2014/11/3 140:0:0", 21.95, 0.92, 27.00, 821.29
"2014/11/3 140:0:0", 21.95, 0.92, 27.00, 821.38
"2014/11/3 140:0:0", 21.96, 0.92, 27.00, 821.38
"2014/11/3 140:0:0", 21.96, 0.92, 27.00, 821.38
"2014/11/3 140:0:0", 21.97, 0.92, 27.00, 821.65
"2014/11/3 140:0:0", 21.97, 0.92, 27.00, 821.83
"2014/11/3 140:0:0", 21.98, 0.92, 27.00, 821.38
