time,temperature,pressure,humidity,altitude
"2014/11/7 140:0:0", 22.61, 0.92, 25.00, 822.10
"2014/11/7 140:0:0", 22.62, 0.92, 25.00, 822.10
"2014/11/7 140:0:0", 22.62, 0.92, 25.00, 822.01
"2014/11/7 140:0:0", 22.61, 0.92, 25.00, 822.01
"2014/11/7 140:0:0", 22.62, 0.92, 25.00, 821.83
"2014/11/7 140:0:0", 22.62, 0.92, 25.00, 822.10
"2014/11/7 140:0:0", 22.61, 0.92, 25.00, 822.10
"2014/11/7 140:0:0", 22.62, 0.92, 25.00, 822.01
"2014/11/7 140:0:0", 22.62, 0.92, 25.00, 821.92
"2014/11/7 140:0:0", 22.62, 0.92, 25.00, 821.74
"2014/11/8 140:0:0", 22.62, 0.92, 25.00, 822.01
"2014/11/8 140:0:0", 22.62, 0.92, 25.00, 821.92
"2014/11/8 140:0:0", 22.62, 0.92, 25.00, 822.01
"2014/11/8 140:0:0", 22.62, 0.92, 25.00, 822.01
"2014/11/8 140:0:0", 22.62, 0.92, 25.00, 821.83
"2014/11/8 140:0:0", 22.62, 0.92, 25.00, 822.19
"2014/11/8 140:0:0", 22.62, 0.92, 25.00, 821.92
"2014/11/8 140:0:0", 22.62, 0.92, 25.00, 822.01
"2014/11/8 140:0:0", 22.62, 0.92, 25.00, 822.01
"2014/11/8 140:0:0", 22.62, 0.92, 25.00, 822.01
"2014/11/8 140:0:0", 22.63, 0.92, 25.00, 821.92
"2014/11/8 140:0:0", 22.62, 0.92, 25.00, 821.92
"2014/11/8 140:0:0", 22.63, 0.92, 25.00, 822.10
"2014/11/8 140:0:0", 22.63, 0.92, 25.00, 822.10
"2014/11/8 140:0:0", 22.63, 0.92, 25.00, 822.01
"2014/11/8 140:0:0", 22.63, 0.92, 25.00, 822.19
"2014/11/8 140:0:0", 22.62, 0.92, 25.00, 822.10
"2014/11/8 140:0:0", 22.63, 0.92, 25.00, 822.37
"2014/11/8 140:0:0", 22.63, 0.92, 25.00, 822.01
"2014/11/8 140:0:0", 22.63, 0.92, 25.00, 822.28
"2014/11/8 140:0:0", 22.63, 0.92, 25.00, 822.10
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.10
"2014/11/8 140:0:0", 22.63, 0.92, 25.00, 822.01
"2014/11/8 140:0:0", 22.63, 0.92, 25.00, 822.10
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.10
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.19
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.10
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.19
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.37
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.01
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.10
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.10
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.19
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.19
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.28
"2014/11/8 140:0:0", 22.65, 0.92, 25.00, 822.28
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.19
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.28
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.37
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.46
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.46
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.46
"2014/11/8 140:0:0", 22.65, 0.92, 25.00, 822.28
"2014/11/8 140:0:0", 22.64, 0.92, 25.00, 822.37
"2014/11/8 140:0:0", 22.65, 0.92, 25.00, 822.28
"2014/11/8 140:0:0", 22.65, 0.92, 25.00, 822.28
"2014/11/8 140:0:0", 22.65, 0.92, 25.00, 822.28
"2014/11/8 140:0:0", 22.65, 0.92, 25.00, 822.46
"2014/11/8 140:0:0", 22.65, 0.92, 25.00, 822.19
"2014/11/8 140:0:0", 22.65, 0.92, 25.00, 822.46
"2014/11/8 140:0:0", 22.65, 0.92, 25.00, 822.46
