time,temperature,pressure,humidity
"2014/11/8 140:0:0", 28.92, 0.92, 19.00
"2014/11/8 140:0:0", 28.85, 0.92, 19.00
"2014/11/8 140:0:0", 28.78, 0.92, 19.00
"2014/11/8 140:0:0", 28.71, 0.92, 19.00
"2014/11/8 140:0:0", 28.69, 0.92, 19.00
"2014/11/8 140:0:0", 28.64, 0.92, 19.00
"2014/11/8 140:0:0", 28.55, 0.92, 19.00
"2014/11/8 140:0:0", 28.49, 0.92, 19.00
"2014/11/8 140:0:0", 28.44, 0.92, 18.00
"2014/11/8 140:0:0", 28.34, 0.92, 18.00
"2014/11/8 140:0:0", 28.27, 0.92, 18.00
"2014/11/8 140:0:0", 28.19, 0.92, 18.00
"2014/11/8 140:0:0", 28.13, 0.92, 18.00
"2014/11/8 140:0:0", 28.08, 0.92, 18.00
"2014/11/8 140:0:0", 28.01, 0.92, 18.00
"2014/11/9 140:0:0", 27.97, 0.92, 18.00
"2014/11/9 140:0:0", 27.89, 0.92, 18.00
"2014/11/9 140:0:0", 27.83, 0.92, 18.00
"2014/11/9 140:0:0", 27.79, 0.92, 18.00
"2014/11/9 140:0:0", 27.74, 0.92, 18.00
"2014/11/9 140:0:0", 27.71, 0.92, 18.00
"2014/11/9 140:0:0", 27.70, 0.92, 18.00
"2014/11/9 140:0:0", 27.67, 0.92, 18.00
"2014/11/9 140:0:0", 27.64, 0.92, 18.00
"2014/11/9 140:0:0", 27.59, 0.92, 18.00
"2014/11/9 140:0:0", 27.56, 0.92, 18.00
"2014/11/9 140:0:0", 27.52, 0.92, 18.00
"2014/11/9 140:0:0", 27.49, 0.92, 18.00
"2014/11/9 140:0:0", 27.45, 0.92, 18.00
"2014/11/9 140:0:0", 27.42, 0.92, 18.00
"2014/11/9 140:0:0", 27.38, 0.92, 18.00
"2014/11/9 140:0:0", 27.34, 0.92, 18.00
"2014/11/9 140:0:0", 27.31, 0.92, 18.00
"2014/11/9 140:0:0", 27.28, 0.92, 18.00
"2014/11/9 140:0:0", 27.23, 0.92, 18.00
"2014/11/9 140:0:0", 27.21, 0.92, 18.00
"2014/11/9 140:0:0", 27.18, 0.92, 18.00
"2014/11/9 140:0:0", 27.16, 0.92, 18.00
"2014/11/9 140:0:0", 27.11, 0.92, 18.00
"2014/11/9 140:0:0", 27.08, 0.92, 18.00
"2014/11/9 140:0:0", 27.05, 0.92, 18.00
"2014/11/9 140:0:0", 27.02, 0.92, 18.00
"2014/11/9 140:0:0", 26.98, 0.92, 18.00
"2014/11/9 140:0:0", 26.95, 0.92, 19.00
"2014/11/9 140:0:0", 26.92, 0.92, 19.00
"2014/11/9 140:0:0", 26.89, 0.92, 19.00
"2014/11/9 140:0:0", 26.87, 0.92, 19.00
"2014/11/9 140:0:0", 26.84, 0.92, 19.00
"2014/11/9 140:0:0", 26.81, 0.92, 19.00
"2014/11/9 140:0:0", 26.77, 0.92, 19.00
"2014/11/9 140:0:0", 26.75, 0.92, 19.00
"2014/11/9 140:0:0", 26.72, 0.92, 19.00
"2014/11/9 140:0:0", 26.69, 0.92, 19.00
"2014/11/9 140:0:0", 26.66, 0.92, 19.00
"2014/11/9 140:0:0", 26.62, 0.92, 19.00
"2014/11/9 140:0:0", 26.60, 0.92, 19.00
"2014/11/9 140:0:0", 26.57, 0.92, 19.00
"2014/11/9 140:0:0", 26.54, 0.92, 19.00
"2014/11/9 140:0:0", 26.50, 0.92, 19.00
"2014/11/9 140:0:0", 26.48, 0.92, 19.00
"2014/11/9 140:0:0", 26.44, 0.92, 19.00
"2014/11/9 140:0:0", 26.41, 0.92, 19.00
"2014/11/9 140:0:0", 26.38, 0.92, 19.00
"2014/11/9 140:0:0", 26.36, 0.92, 19.00
"2014/11/9 140:0:0", 26.34, 0.92, 19.00
"2014/11/9 140:0:0", 26.31, 0.92, 19.00
"2014/11/9 140:0:0", 26.28, 0.92, 19.00
"2014/11/9 140:0:0", 26.26, 0.92, 19.00
"2014/11/9 140:0:0", 26.25, 0.92, 19.00
"2014/11/9 140:0:0", 26.21, 0.92, 19.00
"2014/11/9 140:0:0", 26.19, 0.92, 19.00
"2014/11/9 140:0:0", 26.16, 0.92, 19.00
"2014/11/9 140:0:0", 26.12, 0.92, 19.00
"2014/11/9 140:0:0", 26.11, 0.92, 19.00
"2014/11/9 140:0:0", 26.09, 0.92, 19.00
"2014/11/10 140:0:0", 26.07, 0.92, 19.00
"2014/11/10 140:0:0", 26.04, 0.92, 19.00
"2014/11/10 140:0:0", 26.01, 0.92, 19.00
"2014/11/10 140:0:0", 25.95, 0.92, 19.00
"2014/11/10 140:0:0", 25.89, 0.92, 19.00
"2014/11/10 140:0:0", 25.86, 0.92, 19.00
"2014/11/10 140:0:0", 25.84, 0.92, 19.00
"2014/11/10 140:0:0", 25.83, 0.92, 19.00
"2014/11/10 140:0:0", 25.80, 0.92, 19.00
"2014/11/10 140:0:0", 25.77, 0.92, 19.00
"2014/11/10 140:0:0", 25.76, 0.92, 19.00
"2014/11/10 140:0:0", 25.75, 0.92, 19.00
"2014/11/10 140:0:0", 25.73, 0.92, 19.00
"2014/11/10 140:0:0", 25.71, 0.92, 19.00
"2014/11/10 140:0:0", 25.69, 0.92, 19.00
"2014/11/10 140:0:0", 25.67, 0.92, 19.00
"2014/11/10 140:0:0", 25.65, 0.92, 19.00
"2014/11/10 140:0:0", 25.63, 0.92, 19.00
